location_name,blockgroup_id,distance
340-22 E Illinois St,'170310814023',0.023
7612-7760 W Touhy Ave,'170310902004',0.135
7612-7760 W Touhy Ave,'170310901003',0.114
On E 130th St From S Torrence Ave To S Brandon Ave,'170315502002',0.4065
On E 130th St From S Torrence Ave To S Brandon Ave,'170315502001',0.4065
On E 130th St From S Torrence Ave To S Brandon Ave,'170315501006',0.296
On E 131st St From S Exchange Ave To S Marquette Ave,'170315502002',0.4
On E 67th St From S Paxton Ave To S Crandon Ave,'170318439001',0.0675
On E 67th St From S Paxton Ave To S Crandon Ave,'170318439005',0.0675
On E 67th St From S Paxton Ave To S Merrill Ave,'170318439001',0.051
On E 67th St From S Paxton Ave To S Merrill Ave,'170314301014',0.051
On N Cumberland Ave From W Lawrence Ave To W Sunnyside Ave,'170317608021',0.555
On N Halsted St From W Evergreen Ave To N 1534,'170318422001',0.371
On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,'170311705002',0.41
On S Albany Ave From W 71st St To W 73rd St,'170316611003',0.406
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170318404001',0.189
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170316007002',0.531
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170316007001',0.093
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170316006002',0.247
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170316006001',0.108
On S Archer Ave From S Ashland Ave To S Poplar Ave,'170318402001',0.169
On S Archer Ave From S Corbett St To S Halsted St,'170318402001',0.266
On S Archer Ave From S Senour Ave To S Halsted St,'170318402001',0.404
On S Avenue O From E 133rd St To E 135th St,'170315501001',0.1005
On S Avenue O From E 133rd St To E 135th St,'170315501004',0.1005
On S Avenue O From E 133rd St To E 135th St,'170315501002',0.1025
On S Avenue O From E 133rd St To E 135th St,'170315501003',0.1025
On S Brandon Ave From E 130th St To S Brainard Ave,'170315501006',0.602
On S Brandon Ave From E 130th St To S Brainard Ave,'170315501004',0.205
On S Brandon Ave From E 130th St To S Brainard Ave,'170315501003',0.371
On S Central Park Ave From W 28th St To W 32nd St,'170313017023',0.2025
On S Central Park Ave From W 28th St To W 32nd St,'170313016002',0.2025
On S Central Park Ave From W 28th St To W 32nd St,'170318305002',0.1015
On S Central Park Ave From W 28th St To W 32nd St,'170318305003',0.1015
On S Escanaba Ave From E 127th St To E 128th St,'170315502001',0.205
On S Muskegon Ave From E 130th St To E 131st St,'170315502002',0.201
On S Paxton Ave From E 69th St To E 67th St,'170318439004',0.0995
On S Paxton Ave From E 69th St To E 67th St,'170314301013',0.0995
On S Paxton Ave From E 69th St To E 67th St,'170318439005',0.1
On S Paxton Ave From E 69th St To E 67th St,'170314301014',0.1
On S Rockwell St From W 70th St To W 71st St,'170316609002',0.102
On S Rockwell St From W 70th St To W 71st St,'170316609003',0.102
On S Throop St From W 31st St To S Archer Ave,'170316007001',0.325
On S Throop St From W 31st St To S Archer Ave,'170316006001',0.245
On S Throop St From W 31st St To S Archer Ave,'170316006002',0.151
On S Troy St From W 71st St To W 73rd St,'170316611003',0.404
On W 123rd St From S Carpenter St To S Peoria St,'170315304001',0.306
On W 123rd St From S Laflin St To S Loomis St,'170315304002',0.204
On W 31st St From S Wood St To S Damen Ave,'170318432002',0.412
On W 71st St From S California Ave To S Maplewood Ave,'170316609003',0.2045
