,location_name,blockgroup_id,status,distance,from_lat,from_long,to_lat,to_long
948,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave,'170311203006',check,0.158536763,41.9918058,-87.7410146,41.9902461,-87.742291
949,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave,'170311203005',check,0.044456405,41.9918058,-87.7410146,41.9902461,-87.742291
83,On N Greenview Ave From W Henderson St To W Roscoe St,'170310624001',check,0.097309759,41.942503,-87.666305,41.943378,-87.666325
2850,On N Hamlin Ave From W Devon Ave To W Granville Ave,'170311301001',check,0.382170034,41.997162,-87.724015,41.9937259,-87.7239132
597,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,'170311203004',check,0.027022417,41.9900872,-87.7420321,41.9902461,-87.742291
598,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,'170311203005',check,0.000727048,41.9900872,-87.7420321,41.9902461,-87.742291
3108,On N Keating Ave From N 4700 To N 4647,'170311601002',check,0.056810524,41.96624761,-87.74642912,41.965802,-87.746093
2264,On N Keeler Ave From W Devon Ave To W Granville Ave,'170311203001',check,0.383126233,41.997149,-87.733782,41.9937036,-87.7337414
548,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave,'170311404004',check,0.003861169,41.9719946,-87.7405291,41.9728957,-87.7420977
549,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave,'170311404005',check,0.160015164,41.9719946,-87.7405291,41.9728957,-87.7420977
784,On N Keystone Ave From W Peterson Ave To W Glenlake Ave,'170311302001',check,0.18845301,41.9901223,-87.7300677,41.991817,-87.730092
2273,On N Kolmar Ave From W Rosemont Ave To N Sauganash Ave,'170311203005',check,0.107190053,41.9956383,-87.7422906,41.9947528,-87.7428317
2274,On N Kolmar Ave From W Rosemont Ave To N Sauganash Ave,'170311203006',check,0.000951478,41.9956383,-87.7422906,41.9947528,-87.7428317
3276,On N Laramie Ave From W Belmont Ave To W Fletcher St,'170311510012',check,0.002982905,41.938727,-87.756676,41.937827,-87.756646
3277,On N Laramie Ave From W Belmont Ave To W Fletcher St,'170311902001',check,0.09712343,41.938727,-87.756676,41.937827,-87.756646
695,On N Laramie Ave From W Bloomingdale Ave To W Concord Pl,'170312503001',check,0.034587751,41.9131729,-87.7558008,41.91041,-87.755655
696,On N Laramie Ave From W Bloomingdale Ave To W Concord Pl,'170312502001',check,0.272869948,41.9131729,-87.7558008,41.91041,-87.755655
448,On N Leamington Ave From W Ferdinand St To W Ohio St,'170312516003',check,0.222602362,41.889344,-87.754162,41.891345,-87.754243
556,On N Leavitt St From W Armitage Ave To W Moffat St,'170318322002',check,0.001268271,41.917671,-87.682488,41.9153815,-87.6824533
557,On N Leavitt St From W Armitage Ave To W Moffat St,'170312222001',check,0.253329063,41.917671,-87.682488,41.9153815,-87.6824533
2098,On N Leclaire Ave From W Chicago Ave To W Erie St,'170312516001',check,0.215031872,41.894981,-87.753146,41.892217,-87.7530614
2099,On N Leclaire Ave From W Chicago Ave To W Erie St,'170312516003',check,0.089564174,41.894981,-87.753146,41.892217,-87.7530614
2100,On N Leclaire Ave From W Chicago Ave To W Erie St,'170312511003',check,0.002826928,41.894981,-87.753146,41.892217,-87.7530614
606,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,'170311202003',check,0.000580658,41.9954399,-87.7580216,41.9968845,-87.7611487
607,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,'170311202002',check,0.303695436,41.9954399,-87.7580216,41.9968845,-87.7611487
1061,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,'170310402021',check,0.000420338,41.988983,-87.705137,41.983139,-87.695232
1062,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,'170310207012',check,0.35913551,41.988983,-87.705137,41.983139,-87.695232
1063,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,'170310208013',check,0.422134061,41.988983,-87.705137,41.983139,-87.695232
1064,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,'170310207011',check,0.263533101,41.988983,-87.705137,41.983139,-87.695232
3278,On N Lincoln Ave From W Bryn Mawr Ave To W Catalpa Ave,'170310402021',check,0.281796321,41.983139,-87.695232,41.981347,-87.69279
3279,On N Lincoln Ave From W Bryn Mawr Ave To W Catalpa Ave,'170310402024',check,0.001837351,41.983139,-87.695232,41.981347,-87.69279
1604,On N Marmora Ave From W Ardmore Ave To N Milwaukee Ave,'170311101004',check,0.000125913,41.9860375,-87.7745872,41.9841799,-87.7755754
1605,On N Marmora Ave From W Ardmore Ave To N Milwaukee Ave,'170311101003',check,0.221992714,41.9860375,-87.7745872,41.9841799,-87.7755754
2071,On N Mason Ave From W Berteau Ave To W Belle Plaine Ave,'170311504023',check,0.000197876,41.95672,-87.77566,41.954896,-87.775584
2072,On N Mason Ave From W Berteau Ave To W Belle Plaine Ave,'170311504022',check,0.2027193,41.95672,-87.77566,41.954896,-87.775584
208,On N Narragansett Ave From W Roscoe St To W Addison St,'170311711003',check,0.407784843,41.941997,-87.786173,41.94568,-87.786294
209,On N Narragansett Ave From W Roscoe St To W Addison St,'170311702002',check,0.001868907,41.941997,-87.786173,41.94568,-87.786294
1707,On N Nashville Ave From W Gregory St To W Balmoral Ave,'170311006001',check,0.311561888,41.9820457,-87.7914043,41.9792439,-87.7914419
896,On N New England Ave From W Belmont Ave To W Wellington Ave,'170311710003',check,0.000546332,41.938127,-87.798125,41.9345001,-87.7980333
897,On N New England Ave From W Belmont Ave To W Wellington Ave,'170311801004',check,0.402818441,41.938127,-87.798125,41.9345001,-87.7980333
979,On N Nordica Ave From W Waveland Ave To W Roscoe St,'170311703005',check,0.201942649,41.9471513,-87.8033813,41.941704,-87.8031827
980,On N Nordica Ave From W Waveland Ave To W Roscoe St,'170311710006',check,0.403992999,41.9471513,-87.8033813,41.941704,-87.8031827
1710,On N Oconto Ave From W Jarvis Ave To W Chase Ave,'170310901002',check,0.198423047,42.0153042,-87.8078309,42.0135198,-87.8078504
1618,On N Olcott Ave From W Forest Preserve Ave To W Grace St,'170311704004',check,0.195748649,41.950515,-87.814186,41.948765,-87.814443
416,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,'170310902002',check,0.005988048,42.0040192,-87.8115569,42.0016132,-87.8143258
417,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,'170310902003',check,0.346038177,42.0040192,-87.8115569,42.0016132,-87.8143258
601,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,'170310901004',check,0.000440359,42.0150532,-87.8187831,42.0141385,-87.8188146
602,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,'170310901003',check,0.101303071,42.0150532,-87.8187831,42.0141385,-87.8188146
908,On N Paris Ave From W Grace St To W Waveland Ave,'170311705003',check,0.000603666,41.9485666,-87.8304291,41.946748,-87.830334
909,On N Paris Ave From W Grace St To W Waveland Ave,'170311705004',check,0.201768602,41.9485666,-87.8304291,41.946748,-87.830334
