,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
3519,[170 -02] 36595,On E 67th St From S Paxton Ave To S Crandon Ave,2014-2018,E 67th St And S Paxton Ave,E 67th St And S Crandon Ave,"[41.773515, -87.571604]","[41.773535, -87.569984]",170318439001,170318439001
3520,[170 -02] 36595,On S Paxton Ave From E 69th St To E 67th St,2014-2018,S Paxton Ave And E 69th St,S Paxton Ave And E 67th St,"[41.76989, -87.57152]","[41.773515, -87.571604]",170314301013,170318439001
3521,[170 -02] 36595,On E 67th St From S Paxton Ave To S Merrill Ave,2014-2018,E 67th St And S Paxton Ave,E 67th St And S Merrill Ave,"[41.773515, -87.571604]","[41.773498, -87.572821]",170318439001,170318439001
3560,[170 -02] 37719,On S Muskegon Ave From E 130th St To E 131st St,2014-2018,S Muskegon Ave And E 130th St,S Muskegon Ave And E 131st St,"[41.659179, -87.554423]","[41.657366, -87.554433]",170315502002,170315502002
3593,[170 -02] 37719,On N Oriole Ave From W Forest Preserve Ave To W Irving Park Rd,2014-2018,N Oriole Ave And W Forest Preserve Ave,N Oriole Ave And W Irving Park Rd,"[41.949117, -87.8169]","[41.95254, -87.817043]",170311704004,"[41.95254, -87.817043]"
3627,[170 -02] 37719,On E 131st St From S Exchange Ave To S Marquette Ave,2014-2018,E 131st St And S Exchange Ave,E 131st St And S Marquette Ave,"[41.657371, -87.551988]","[41.657377, -87.556863]",170315502002,170315502002
3637,[170 -02] 37719,On S Menard Ave From W 65th St To W 63rd St,2014-2018,S Menard Ave And W 65th St,S Menard Ave And W 63rd St,"[41.7743, -87.766456]","[41.777989, -87.766585]","[41.7743, -87.766456]",170316403002
3716,[170 -02] 37793,On W 123rd St From S Carpenter St To S Peoria St,2014-2018,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]","[41.670445, -87.647756]",170315304001
3718,[170 -02] 37793,On S Longwood Dr From W 119th St To W 116th St,2014-2018,S Longwood Dr And W 119th St,S Longwood Dr And W 116th St,"[41.67728, -87.675225]","[41.682878, -87.674099]","[41.67728, -87.675225]",170317505004
3749,[170 -02] 37793,On E 75th St From S Kingston Ave To S Phillips Ave,2014-2018,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
3752,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave,2014-2018,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]",170315202003,"[41.7135376, -87.535274]"
3765,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2014-2018,S Clark St And W 21st St,S Clark St And S Archer Ave,"[41.6380745000001, -87.6244875000644]","[41.855159, -87.630161]","[41.6380745000001, -87.6244875000644]",170318411001
3818,[170 -02] 38043,S May St And W 34th Pl,2014-2018,S May St And W 34th Pl,None,"[41.6627045000034, -87.6503189998302]",None,"[41.6627045000034, -87.6503189998302]",None
4083,[170 -04] 37896,On N Halsted St From W Evergreen Ave To N 1534,2014-2018,N Halsted St And W Evergreen Ave,1534 N Halsted St,"[41.906417, -87.64814]","[41.909713, -87.64836]",170318422001,170318422001
4092,[170 -04] 37896,On N Cumberland Ave From W Lawrence Ave To W Sunnyside Ave,2014-2018,N Cumberland Ave And W Lawrence Ave,N Cumberland Ave And W Sunnyside Ave,"[41.9666233, -87.8366769]","[41.961603, -87.836735]","[41.9666233, -87.8366769]",170317608021
4122,[170 -04] 37896,On N Albany Ave From W Leland Ave To W Wilson Ave,2014-2018,N Albany Ave And W Leland Ave,N Albany Ave And W Wilson Ave,"[41.966648, -87.706007]","[41.96474, -87.705896]","[41.966648, -87.706007]",170311408001
4132,[170 -04] 37896,On N Harlem Ave From W Touhy Ave To W Greenleaf Ave,2014-2018,N Harlem Ave And W Touhy Ave,N Harlem Ave And W Greenleaf Ave,"[42.011698, -87.806637]","[42.0089734, -87.8066861]","[42.011698, -87.806637]",170310902001
4137,[170 -04] 37896,On N Leclaire Ave From W Lawrence Ave To W Alley N. Of Lawrence,2014-2018,N Leclaire Ave And W Lawrence Ave,N Leclaire Ave And W Alley N. Of Lawrence,"[41.9679994, -87.7551493]","[42.0703601, -87.75781710000001]",170311105021,"[42.0703601, -87.75781710000001]"
4159,[170 -04] 37896,2226-2545 S Ashland Ave,2014-2018,2226 S Ashland Ave,2545 S Ashland Ave,"[41.851325, -87.666304]","[41.845669, -87.665254]",170318432002,170318432002
4163,[170 -04] 37896,On W Foster Ave From N Overhill Ave To N Oriole Ave,2014-2018,W Foster Ave And N Overhill Ave,W Foster Ave And N Oriole Ave,"[41.974217, -87.819413]","[41.974244, -87.816945]","[41.974217, -87.819413]",170311005005
4176,[170 -04] 37896,On W 103rd St From S Springfield Ave To S St Louis Ave,2014-2018,W 103rd St And S Springfield Ave,W 103rd St And S St Louis Ave,"[41.705983, -87.718504]","[41.706131, -87.70875]",170317402001,"[41.706131, -87.70875]"
4177,[170 -04] 37896,On W 71st St From S Homan Ave To S Kedzie Ave,2014-2018,W 71st St And S Homan Ave,W 71st St And S Kedzie Ave,"[41.764308, -87.707729]","[41.764394, -87.702829]",170316609003,170316609003
4191,[170 -04] 37896,On W North Ave From N Oak Park Ave To N Rutherford Ave,2014-2018,W North Ave And N Oak Park Ave,W North Ave And N Rutherford Ave,"[41.909101, -87.794769]","[41.909029, -87.793462]",170312505002,"[41.909029, -87.793462]"
4204,[170 -04] 37896,On W St James Pl From N Clark St To N Lakeview Ave,2014-2018,W St James Pl And N Clark St,W St James Pl And N Lakeview Ave,"[41.927833, -87.641811]","[41.9287021, -87.6392266]",170310701021,170310701013
4205,[170 -04] 37896,On W Leland Ave From N Kedzie Ave To N Albany Ave,2014-2018,W Leland Ave And N Kedzie Ave,W Leland Ave And N Albany Ave,"[41.966662, -87.708424]","[41.966648, -87.706007]",170311407011,"[41.966648, -87.706007]"
4215,[170 -04] 37896,2221-2545 S Ashland Ave,2014-2018,2221 S Ashland Ave,2545 S Ashland Ave,"[41.851778, -87.665808]","[41.845669, -87.665254]",170318432002,170318432002
4240,[170 -04] 37896,On W 123rd St From S Laflin St To S Loomis St,2014-2018,W 123rd St And S Laflin St,W 123rd St And S Loomis St,"[41.6703192, -87.6587309]","[41.6703126, -87.656266]",170315304002,"[41.6703126, -87.656266]"
4250,[170 -04] 37896,On W Division St From N North Branch St To N Hickory Ave,2014-2018,W Division St And N North Branch St,W Division St And N Hickory Ave,"[41.903552, -87.65543]","[41.9036, -87.652517]",170318422001,170318422001
4264,[170 -04] 37896,On S Throop St From W 31st St To S Archer Ave,2014-2018,S Throop St And W 31st St,S Throop St And S Archer Ave,"[41.837892, -87.6584553]","[41.843514, -87.654134]",170316007001,170318402001
4270,[170 -04] 37896,On W 71st St From S California Ave To S Maplewood Ave,2014-2018,W 71st St And S California Ave,W 71st St And S Maplewood Ave,"[41.764541, -87.693048]","[41.764638, -87.686928]",170316609003,170316609002
4271,[170 -04] 37896,On W 95th St From S Ada St To S Morgan St,2014-2018,W 95th St And S Ada St,W 95th St And S Morgan St,"[41.721339, -87.656607]","[41.721325, -87.64806]","[41.721339, -87.656607]",170317304001
