,location_name,from,to
95,On W 81st Pl From S Kostner Ave To S Kenneth Ave,W 81st Pl And S Kostner Ave,W 81st Pl And S Kenneth Ave
96,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,W Wilcox St And S Hamlin Blvd,W Wilcox St And S Springfield Ave
97,On W Ardmore Ave From N Austin Ave To N Melvina Ave,W Ardmore Ave And N Austin Ave,W Ardmore Ave And N Melvina Ave
98,On W Argyle St From N Mozart St To N Francisco Ave,W Argyle St And N Mozart St,W Argyle St And N Francisco Ave
99,On W Arthur Ave From N Troy St To N Albany Ave,W Arthur Ave And N Troy St,W Arthur Ave And N Albany Ave
100,On W Barry Ave From N Springfield Ave To N Davlin Ct,W Barry Ave And N Springfield Ave,W Barry Ave And N Davlin Ct
101,On W Carmen Ave From N Ravenswood Ave To N Paulina St,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
102,On W Jackson Blvd From S California Ave To S Francisco Ave,W Jackson Blvd And S California Ave,W Jackson Blvd And S Francisco Ave
103,On W Madison St From N Waller Ave To N Mason Ave,W Madison St And N Waller Ave,W Madison St And N Mason Ave
104,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,W Palmer St And N Cicero Ave,W Palmer St And N Kilpatrick Ave
105,On W Peterson Ave From N Harlem Ave To N Oconto Ave,W Peterson Ave And N Harlem Ave,W Peterson Ave And N Oconto Ave
106,On W Railroad Ave From S Mason Ave To S Austin Blvd,W Railroad Ave And S Mason Ave,W Railroad Ave And S Austin Blvd
107,On W Roscoe St From N Greenview Ave To N Janssen Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Janssen Ave
108,On S St. Louis Ave. From W 81st Pl To W Columbus Ave,S St. Louis Ave. And W 81st Pl,S St. Louis Ave. And W Columbus Ave
109,On W 81st St From S Kilpatrick Ave To S Keating Ave,W 81st St And S Kilpatrick Ave,W 81st St And S Keating Ave
110,On S St Louis Ave From W 77th St To W 78th St,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St
111,On S Clark St From W 18th St To W 19th St,S Clark St And W 18th St,S Clark St And W 19th St
112,On S Princeton Ave From W 59th Pl To W 60th St,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th St
113,N Keating Ave And W Devon Ave,N Keating Ave And W Devon Ave,
114,On E 61st St From S Langley Ave To S Rhodes Ave,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave
115,On E 88th St From S Euclid Ave To S Bennett Ave,E 88th St And S Euclid Ave,E 88th St And S Bennett Ave
116,On N Bernard St From W Belmont Ave To W Barry Ave,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave
117,On N Clybourn Ave From W Webster Ave To N Greenview Ave,N Clybourn Ave And W Webster Ave,N Clybourn Ave And N Greenview Ave
118,On N Davlin Ct From W Barry Ave To W Wellington Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And W Wellington Ave
119,On N Greenview Ave From W Belmont Ave To W Henderson St,N Greenview Ave And W Belmont Ave,N Greenview Ave And W Henderson St
120,On N Harding Ave From W Barry Ave To W Belmont Ave,N Harding Ave And W Barry Ave,N Harding Ave And W Belmont Ave
121,On N Oconto Ave From W Peterson Ave To W Thorndale Ave,N Oconto Ave And W Peterson Ave,N Oconto Ave And W Thorndale Ave
122,On N Springfield Ave From W Belmont Ave To W Barry Ave,N Springfield Ave And W Belmont Ave,N Springfield Ave And W Barry Ave
123,On N Washtenaw Ave From W Argyle St To W Winnemac Ave,N Washtenaw Ave And W Argyle St,N Washtenaw Ave And W Winnemac Ave
124,On S Racine Ave From W 108th St To W 110th St,S Racine Ave And W 108th St,S Racine Ave And W 110th St
125,On N Washtenaw Ave From W Winona St To W Argyle St,N Washtenaw Ave And W Winona St,N Washtenaw Ave And W Argyle St
126,On S Carpenter St From W 64th St To W 65th St,S Carpenter St And W 64th St,S Carpenter St And W 65th St
127,On S Constance Ave From E 88th St To E 90th St,S Constance Ave And E 88th St,S Constance Ave And E 90th St
128,On S Davol St From W Monterey Ave To W Waseca Pl,S Davol St And W Monterey Ave,S Davol St And W Waseca Pl
129,On S Eggleston Ave From W 105th St To W 106th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 106th St
130,On S Hamlin Ave From W 66th St To W Marquette Rd,S Hamlin Ave And W 66th St,S Hamlin Ave And W Marquette Rd
131,On S Hermitage Ave From W 47th St To W 46th St,S Hermitage Ave And W 47th St,S Hermitage Ave And W 46th St
132,On S Hoyne Ave From W 72nd St To W 71st Pl,S Hoyne Ave And W 72nd St,S Hoyne Ave And W 71st Pl
133,On S Karlov Ave From W Arthington St To W Polk St,S Karlov Ave And W Arthington St,S Karlov Ave And W Polk St
134,On S Kenneth Ave From W 81st Pl To W 81st St,S Kenneth Ave And W 81st Pl,S Kenneth Ave And W 81st St
135,On S Lawndale Ave From W 64th Pl To W 66th St,S Lawndale Ave And W 64th Pl,S Lawndale Ave And W 66th St
136,On S Perry Ave From W Marquette Rd To W 68th St,S Perry Ave And W Marquette Rd,S Perry Ave And W 68th St
137,On S Ashland Ave From S Church St To W 109th St,S Ashland Ave And S Church St,S Ashland Ave And W 109th St
138,N Mcvicker Ave And W Ardmore Ave,N Mcvicker Ave And W Ardmore Ave,
139,N Menard Ave And W Madison St,N Menard Ave And W Madison St,
140,N Mozart St And W Argyle St,N Mozart St And W Argyle St,
141,S Austin Blvd And W Roosevelt Rd,S Austin Blvd And W Roosevelt Rd,
142,S Mason Ave And W Arthington St,S Mason Ave And W Arthington St,
143,S Mayfield Ave And W Roosevelt Rd,S Mayfield Ave And W Roosevelt Rd,
144,S Monitor Ave And W Roosevelt Rd,S Monitor Ave And W Roosevelt Rd,
145,S Scottsdale Ave And S Knox Ave,S Scottsdale Ave And S Knox Ave,
146,S St Louis Ave And W Columbus Ave,S St Louis Ave And W Columbus Ave,
147,W 60th Pl And S Wells St,W 60th Pl And S Wells St,
148,3500-3520 N Reta Ave,3500 N Reta Ave,3520 N Reta Ave
149,1656-1756 W Carmen Ave,1656 W Carmen Ave,1756 W Carmen Ave
150,N Moody Ave And W Ardmore Ave,N Moody Ave And W Ardmore Ave,
151,N Normandy Ave And W Devon Ave,N Normandy Ave And W Devon Ave,
152,S Keeler Ave And W 78th St,S Keeler Ave And W 78th St,
153,S May St And W 107th St,S May St And W 107th St,
154,S Menard Ave And W Roosevelt Rd,S Menard Ave And W Roosevelt Rd,
155,S Princeton Ave And W 60th Pl,S Princeton Ave And W 60th Pl,
156,S Springfield Ave And W 78th St,S Springfield Ave And W 78th St,
157,S Whipple St And W 52nd St,S Whipple St And W 52nd St,
158,W 77th Pl And S Keeler Ave,W 77th Pl And S Keeler Ave,
160,On S Avenue J From E 104th St To E 103rd St,S Avenue J And E 104th St,S Avenue J And E 103rd St
161,W Madison St And N Menard Ave,W Madison St And N Menard Ave,
162,W 79th St And S Karlov Ave,W 79th St And S Karlov Ave,
163,W 77th St And S Emerald Ave,W 77th St And S Emerald Ave,
164,W 66th St And S Pulaski Rd,W 66th St And S Pulaski Rd,
165,W 59th St And S Nashville Ave,W 59th St And S Nashville Ave,
166,W 58th Pl And S Hamlin Ave,W 58th Pl And S Hamlin Ave,
167,W 52nd St And S Francisco Ave,W 52nd St And S Francisco Ave,
168,W 104th St And S Hoyne Ave,W 104th St And S Hoyne Ave,
169,S Perry Ave And W 68th St,S Perry Ave And W 68th St,
170,S Lafayette Ave And W 115th St,S Lafayette Ave And W 115th St,
171,S Karlov Ave And W 79th St,S Karlov Ave And W 79th St,
172,S Carpenter St And W 64th St,S Carpenter St And W 64th St,
173,N Washtenaw Ave And W Argyle St,N Washtenaw Ave And W Argyle St,
174,N Elston Ave And W Augusta Blvd,N Elston Ave And W Augusta Blvd,
175,E 43rd St And S Vernon Ave,E 43rd St And S Vernon Ave,
176,On W 77th St From S Union Ave To S Lowe Ave,W 77th St And S Union Ave,W 77th St And S Lowe Ave
177,On S Halsted St From W 78th St To W 79th St,S Halsted St And W 78th St,S Halsted St And W 79th St
178,W Palmer St And N Cicero Ave,W Palmer St And N Cicero Ave,
179,7503-7859 S Emerald Ave,7503 S Emerald Ave,7859 S Emerald Ave
180,On S Green Bay Ave From E 103rd St To E 106th St,S Green Bay Ave And E 103rd St,S Green Bay Ave And E 106th St
181,W Ardmore Ave And N Austin Ave,W Ardmore Ave And N Austin Ave,
182,W 77th St And S Perry Ave,W 77th St And S Perry Ave,
183,W 73rd St And S Kedzie Ave,W 73rd St And S Kedzie Ave,
184,W 65th St And S Lawndale Ave,W 65th St And S Lawndale Ave,
185,W 58th St And S Halsted St,W 58th St And S Halsted St,
186,W 52nd St And S Kedzie Ave,W 52nd St And S Kedzie Ave,
187,W 107th St And S Morgan St,W 107th St And S Morgan St,
188,W Palatine Ave And N Natoma Ave,W Palatine Ave And N Natoma Ave,
189,S Perry Ave And W Marquette Rd,S Perry Ave And W Marquette Rd,
190,S Kostner Ave And W 81st Pl,S Kostner Ave And W 81st Pl,
191,S Emerald Ave And W 79th St,S Emerald Ave And W 79th St,
192,S Ashland Ave And W 108th Pl,S Ashland Ave And W 108th Pl,
193,N Sheffield Ave And W Wellington Ave,N Sheffield Ave And W Wellington Ave,
194,N Drake Ave And W Foster Ave,N Drake Ave And W Foster Ave,
195,On W Polk St From S Wells St To S S Branch Chicago River,W Polk St And S Wells St,W Polk St And S S Branch Chicago River
196,On W 62nd St From S Ashland Ave To S Laflin St,W 62nd St And S Ashland Ave,W 62nd St And S Laflin St
197,S Morgan St And W 107th St,S Morgan St And W 107th St,
198,W Polk St And S Pulaski Rd,W Polk St And S Pulaski Rd,
199,On S Ada St From W 79th St To W 77th St,S Ada St And W 79th St,S Ada St And W 77th St
200,On W 77th St From S Loomis Blvd To S Bishop St,W 77th St And S Loomis Blvd,W 77th St And S Bishop St
201,On W 77th St From S Ada St To S Throop St,W 77th St And S Ada St,W 77th St And S Throop St
202,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave,E Oakwood Blvd And S Langley Ave,E Oakwood Blvd And S Vincennes Ave
203,On S Langley Ave From E 40th St To E Oakwood Blvd,S Langley Ave And E 40th St,S Langley Ave And E Oakwood Blvd
204,On W Montrose Ave From N Narragansett Ave To N Austin Ave,W Montrose Ave And N Narragansett Ave,W Montrose Ave And N Austin Ave
205,W Montrose Ave And N Mulligan Ave,W Montrose Ave And N Mulligan Ave,
206,W Montrose Ave And N Mobile Ave,W Montrose Ave And N Mobile Ave,
207,On S Natoma Ave From W 57th St To W 56th St,S Natoma Ave And W 57th St,S Natoma Ave And W 56th St
208,On W 56th St From S Nottingham Ave To S New England Ave,W 56th St And S Nottingham Ave,W 56th St And S New England Ave
209,On W 56th St From S Natoma Ave To S Neva Ave,W 56th St And S Natoma Ave,W 56th St And S Neva Ave
210,On W 57th St From S Nashville Ave To S Natoma Ave,W 57th St And S Nashville Ave,W 57th St And S Natoma Ave
211,On N Narragansett Ave From W Roscoe St To W Addison St,N Narragansett Ave And W Roscoe St,N Narragansett Ave And W Addison St
212,W Newport Ave And N Narragansett Ave,W Newport Ave And N Narragansett Ave,
213,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave,W Cornelia Ave And N Nagle Ave,W Cornelia Ave And N Narragansett Ave
214,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,N Octavia Ave And W Jarvis Ave,N Octavia Ave And W Birchwood Ave
215,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave,N Overhill Ave And W Sherwin Ave,N Overhill Ave And W Birchwood Ave
216,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave,W Jarvis Ave And N Ottawa Ave,W Jarvis Ave And N Overhill Ave
217,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,N Ottawa Ave And W Jarvis Ave,N Ottawa Ave And W Chase Ave
218,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave
219,N Oriole Ave And W Birchwood Ave,N Oriole Ave And W Birchwood Ave,
220,On S Karlov Ave From W 62nd St To W 61st St,S Karlov Ave And W 62nd St,S Karlov Ave And W 61st St
221,On W 61st St From S Karlov Ave To S Komensky Ave,W 61st St And S Karlov Ave,W 61st St And S Komensky Ave
222,On W 62nd St From S Keeler Ave To S Kildare Ave,W 62nd St And S Keeler Ave,W 62nd St And S Kildare Ave
223,On W 62nd St From S Komensky Ave To S Karlov Ave,W 62nd St And S Komensky Ave,W 62nd St And S Karlov Ave
224,On W 61st St From S Karlov Ave To S Kedvale Ave,W 61st St And S Karlov Ave,W 61st St And S Kedvale Ave
225,On W 62nd St From S Karlov Ave To S Keeler Ave,W 62nd St And S Karlov Ave,W 62nd St And S Keeler Ave
226,On W 62nd St From S Kildare Ave To S Kostner Ave,W 62nd St And S Kildare Ave,W 62nd St And S Kostner Ave
227,On W 62nd St From S Pulaski Rd To S Komensky Ave,W 62nd St And S Pulaski Rd,W 62nd St And S Komensky Ave
228,On W 53rd St From S Hamlin Ave To S Millard Ave,W 53rd St And S Hamlin Ave,W 53rd St And S Millard Ave
229,On W 53rd St From S Springfield Ave To S Hamlin Ave,W 53rd St And S Springfield Ave,W 53rd St And S Hamlin Ave
230,On W 53rd St From S Pulaski Rd To S Springfield Ave,W 53rd St And S Pulaski Rd,W 53rd St And S Springfield Ave
231,On N Mobile Ave From W Bloomingdale Ave To W Cortland St,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Cortland St
232,On W Cortland St From N Mobile Ave To N Mulligan Ave,W Cortland St And N Mobile Ave,W Cortland St And N Mulligan Ave
233,On N Mobile Ave From W Bloomingdale Ave To W Wabansia Ave,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Wabansia Ave
234,On W Wabansia Ave From N Mobile Ave To N Narragansett Ave,W Wabansia Ave And N Mobile Ave,W Wabansia Ave And N Narragansett Ave
235,On W 60th St From S Mobile Ave To S Merrimac Ave,W 60th St And S Mobile Ave,W 60th St And S Merrimac Ave
236,On W 60th St From S Nagle Ave To S Narragansett Ave,W 60th St And S Nagle Ave,W 60th St And S Narragansett Ave
237,On W 60th St From S Natchez Ave To S Nagle Ave,W 60th St And S Natchez Ave,W 60th St And S Nagle Ave
238,On W 60th St From S Normandy Ave To S Natoma Ave,W 60th St And S Normandy Ave,W 60th St And S Natoma Ave
239,On W 60th St From S Mulligan Ave To S Mobile Ave,W 60th St And S Mulligan Ave,W 60th St And S Mobile Ave
240,On W 60th St From S Narragansett Ave To S Mulligan Ave,W 60th St And S Narragansett Ave,W 60th St And S Mulligan Ave
241,On W 60th St From S Natoma Ave To S Nashville Ave,W 60th St And S Natoma Ave,W 60th St And S Nashville Ave
242,On W 60th St From S Rutherford Ave To S Normandy Ave,W 60th St And S Rutherford Ave,W 60th St And S Normandy Ave
243,6534-6600 W 60th St,6534 W 60th St,6600 W 60th St
244,On S Aberdeen St From W 105th St To W 104th Pl,S Aberdeen St And W 105th St,S Aberdeen St And W 104th Pl
245,On W 105th St From S Morgan St To S Sangamon St,W 105th St And S Morgan St,W 105th St And S Sangamon St
246,S Aberdeen St And W 103rd St,S Aberdeen St And W 103rd St,
247,On W 105th St From S Green St To S Halsted St,W 105th St And S Green St,W 105th St And S Halsted St
248,On W 105th St From S Sangamon St To S Green St,W 105th St And S Sangamon St,W 105th St And S Green St
249,On W 100th St From S Normal Ave To S Emerald Ave,W 100th St And S Normal Ave,W 100th St And S Emerald Ave
250,On W 101st St From S Morgan St To S Green St,W 101st St And S Morgan St,W 101st St And S Green St
251,On S Calumet Ave From E 87th St To E 89th St,S Calumet Ave And E 87th St,S Calumet Ave And E 89th St
252,S Calumet Ave And E 89th St,S Calumet Ave And E 89th St,
253,On S Eberhart Ave From E 87th St To E 89th St,S Eberhart Ave And E 87th St,S Eberhart Ave And E 89th St
254,On E 102nd Pl From S State St To S Michigan Ave,E 102nd Pl And S State St,E 102nd Pl And S Michigan Ave
255,On W 102nd St From S Perry Ave To S La Salle St,W 102nd St And S Perry Ave,W 102nd St And S La Salle St
256,On W 99th St From S La Salle St To S State St,W 99th St And S La Salle St,W 99th St And S State St
257,E 102nd St And S State St,E 102nd St And S State St,
258,On S Perry Ave From W 101st St To W 102nd St,S Perry Ave And W 101st St,S Perry Ave And W 102nd St
259,On W 102nd St From S Perry Ave To S Lafayette Ave,W 102nd St And S Perry Ave,W 102nd St And S Lafayette Ave
260,On W 99th St From S Wentworth Ave To S La Salle St,W 99th St And S Wentworth Ave,W 99th St And S La Salle St
261,On N Keeler Ave From W Augusta Blvd To W Walton St,N Keeler Ave And W Augusta Blvd,N Keeler Ave And W Walton St
262,On W Augusta Blvd From N Karlov Ave To N Keeler Ave,W Augusta Blvd And N Karlov Ave,W Augusta Blvd And N Keeler Ave
263,N Pulaski Rd And W Augusta Blvd,N Pulaski Rd And W Augusta Blvd,
264,On N Keeler Ave From W Thomas St To W Walton St,N Keeler Ave And W Thomas St,N Keeler Ave And W Walton St
265,On W Augusta Blvd From N Pulaski Rd To N Karlov Ave,W Augusta Blvd And N Pulaski Rd,W Augusta Blvd And N Karlov Ave
266,On S Western Ave From W 116th St To W 118th St,S Western Ave And W 116th St,S Western Ave And W 118th St
267,On W 116th St From S Campbell Ave To S Maplewood Ave,W 116th St And S Campbell Ave,W 116th St And S Maplewood Ave
