Num,Status,location_name,from,to,from_lat_long,to_lat_long,from_lat,from_long,to_lat,to_long
1419,Complete,On S Archer Ave From S Ashland Ave To S Poplar Ave,S Archer Ave And S Ashland Ave,S Archer Ave And S Poplar Ave,"[41.837762, -87.665687]","[41.844338, -87.652341]",41.837762,-87.665687,41.844338,-87.652341
1380,Complete,On S Archer Ave From S Corbett St To S Halsted St,S Archer Ave And S Corbett St,S Archer Ave And S Halsted St,"[41.845864, -87.649163]","[41.8472125, -87.6465235]",41.845864,-87.649163,41.8472125,-87.6465235
1168,Complete,On S Archer Ave From S Senour Ave To S Halsted St,S Archer Ave And S Senour Ave,S Archer Ave And S Halsted St,"[41.845204, -87.650591]","[41.8472125, -87.6465235]",41.845204,-87.650591,41.8472125,-87.6465235
598,Complete,On S Avenue O From E 133rd St To E 135th St,S Avenue O And E 133rd St,S Avenue O And E 135th St,"[41.6536643, -87.5398392]","[41.650015, -87.539887]",41.6536643,-87.5398392,41.650015,-87.539887
15,Complete,On S Brandon Ave From E 130th St To S Brainard Ave,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.6591146948932, -87.5459318306496]","[41.648535, -87.546007]",41.65911469,-87.54593183,41.648535,-87.546007
1124,Complete,On S Central Park Ave From W 28th St To W 32nd St,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",41.840727,-87.714694,41.83526,-87.71458
1346,Complete,1600-1950 W Roosevelt Rd,1600 W Roosevelt Rd,1950 W Roosevelt Rd,[],[],None,None,None,None
72,Complete,On S Clark St From W 21st St To S Archer Ave,S Clark St And W 21st St,S Clark St And S Archer Ave,[],"[41.855159, -87.630161]",None,None,41.855159,-87.630161
1721,Complete,On S Escanaba Ave From E 127th St To E 128th St,S Escanaba Ave And E 127th St,S Escanaba Ave And E 128th St,"[41.664705, -87.552501]","[41.66284, -87.553214]",41.664705,-87.552501,41.66284,-87.553214
1058,Complete,On S Hamilton Ave From W Adams St To W Gladys Ave,S Hamilton Ave And W Adams St,S Hamilton Ave And W Gladys Ave,"[41.8786833, -87.6802835]",[],41.8786833,-87.6802835,None,None
1059,Complete,On S Lytle St From W Harrison St To W Lexington St,S Lytle St And W Harrison St,S Lytle St And W Lexington St,[],"[41.872232, -87.658376]",None,None,41.872232,-87.658376
1925,Complete,On S Muskegon Ave From E 130th St To E 131st St,S Muskegon Ave And E 130th St,S Muskegon Ave And E 131st St,"[41.659179, -87.554423]","[41.657366, -87.554433]",41.659179,-87.554423,41.657366,-87.554433
1887,Complete,On S Paxton Ave From E 69th St To E 67th St,S Paxton Ave And E 69th St,S Paxton Ave And E 67th St,"[41.76989, -87.57152]","[41.773515, -87.571604]",41.76989,-87.57152,41.773515,-87.571604
1636,Complete,On S Rockwell St From W 70th St To W 71st St,S Rockwell St And W 70th St,S Rockwell St And W 71st St,"[41.766445, -87.688205]","[41.764616, -87.688148]",41.766445,-87.688205,41.764616,-87.688148
2354,Complete,On S Throop St From W 31st St To S Archer Ave,S Throop St And W 31st St,S Throop St And S Archer Ave,"[41.837892, -87.6584553]","[41.843514, -87.654134]",41.837892,-87.6584553,41.843514,-87.654134
1709,Complete,On S Manistee Ave From E 126th St To S Escanaba Ave,S Manistee Ave And E 126th St,S Manistee Ave And S Escanaba Ave,[],[],None,None,None,None
1723,Complete,On S Troy St From W 71st St To W 73rd St,S Troy St And W 71st St,S Troy St And W 73rd St,"[41.764402, -87.701601]","[41.7607429, -87.7015152]",41.764402,-87.701601,41.7607429,-87.7015152
1,Complete,On S Wallace St From W 58th St To W 59th St,S Wallace St And W 58th St,S Wallace St And W 59th St,[],"[41.7871295, -87.6401719]",None,None,41.7871295,-87.6401719
2260,Complete,On S Wallace St From W Garfield Blvd To W 57th St,S Wallace St And W Garfield Blvd,S Wallace St And W 57th St,"[41.7944375, -87.6403819]",[],41.7944375,-87.6403819,None,None
1863,Complete,On W Polk St From S Dan Ryan Expy To S Shields Ave,W Polk St And S Dan Ryan Expy,W Polk St And S Shields Ave,[],[],None,None,None,None
660,Complete,On W 123rd St From S Carpenter St To S Peoria St,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]",41.670445,-87.647756,41.6705106,-87.6440745
2330,Complete,On W 123rd St From S Laflin St To S Loomis St,W 123rd St And S Laflin St,W 123rd St And S Loomis St,"[41.6703192, -87.6587309]","[41.6703126, -87.656266]",41.6703192,-87.6587309,41.6703126,-87.656266
962,Complete,On W 31st St From S Wood St To S Damen Ave,W 31st St And S Wood St,W 31st St And S Damen Ave,"[41.837721, -87.670564]","[41.83764, -87.675491]",41.837721,-87.670564,41.83764,-87.675491
1904,Complete,150-200 E 109th St,150 E 109th St,200 E 109th St,[],[],None,None,None,None
