,location_name,from,to,from_lat_long,to_lat_long
61,On N Bernard St From W Grace St To W Irving Park Rd,N Bernard St And W Grace St,N Bernard St And W Irving Park Rd,"[41.950203, -87.714012]","[41.953907, -87.714143]"
62,On N Davlin Ct From W Barry Ave To N Milwaukee Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And N Milwaukee Ave,"[41.936691, -87.724922]","[41.938538, -87.72291]"
63,On N Drake Ave From W Carmen Ave To W Foster Ave,N Drake Ave And W Carmen Ave,N Drake Ave And W Foster Ave,"[41.9738397, -87.7172033]","[41.975607, -87.717228]"
64,On N Greenview Ave From W Henderson St To W Roscoe St,N Greenview Ave And W Henderson St,N Greenview Ave And W Roscoe St,"[41.942503, -87.666305]","[41.943378, -87.666325]"
65,On S St Louis Ave From W 75th St To W 76th St,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St,"[41.75692, -87.709955]","[41.7551703, -87.7098815]"
66,On N Overhill Ave From W Birchwood Ave To W Howard St,N Overhill Ave And W Birchwood Ave,N Overhill Ave And W Howard St,"[42.0168859, -87.8187884]","[42.018696, -87.818782]"
67,On N Troy St From W Devon Ave To W Arthur Ave,N Troy St And W Devon Ave,N Troy St And W Arthur Ave,"[41.997408, -87.708197]","[41.999239, -87.708247]"
68,On N Washtenaw Ave From W Carmen Ave To W Winona St,N Washtenaw Ave And W Carmen Ave,N Washtenaw Ave And W Winona St,"[41.9740186, -87.6964149]","[41.9747895, -87.696441]"
69,On S Aberdeen St From W 107th St To W 107th Pl,S Aberdeen St And W 107th St,S Aberdeen St And W 107th Pl,"[41.699563, -87.64991]","[41.698637, -87.649885]"
70,On S Ashland Ave From W 108th Pl To W 109th Pl,S Ashland Ave And W 108th Pl,S Ashland Ave And W 109th Pl,"[41.696677, -87.661981]","[41.6946078, -87.661905]"
71,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,N Leclaire Ave And W Diversey Ave,N Leclaire Ave And W Oakdale Ave,"[41.931449, -87.753968]","[41.934204, -87.754048]"
73,On S Damen Ave From W 83rd St To W 82nd St,S Damen Ave And W 83rd St,S Damen Ave And W 82nd St,"[41.742944, -87.672979]","[41.744765, -87.673029]"
74,On S Eggleston Ave From W 105th St To W 104th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 104th St,"[41.703395, -87.634229]","[41.705181, -87.634296]"
75,On S Green St From W 107th St To W 106th St,S Green St And W 107th St,S Green St And W 106th St,"[41.699629, -87.643833]","[41.701443, -87.643888]"
76,On S Hamlin Blvd From W Wilcox St To W Monroe St,S Hamlin Blvd And W Wilcox St,S Hamlin Blvd And W Monroe St,"[41.878944, -87.720751]","[41.879834, -87.720799]"
77,On S Hoyne Ave From W 71st Pl To W 73rd St,S Hoyne Ave And W 71st Pl,S Hoyne Ave And W 73rd St,"[41.763863, -87.675957]","[41.761136, -87.6758571]"
78,On S Hoyne Ave From W 73rd St To W 72nd Pl,S Hoyne Ave And W 73rd St,S Hoyne Ave And W 72nd Pl,"[41.761136, -87.6758571]","[41.7620324, -87.6758786]"
79,On S Karlov Ave From W Polk St To W Lexington St,S Karlov Ave And W Polk St,S Karlov Ave And W Lexington St,"[41.8709134, -87.7277991]","[41.8718042, -87.727842]"
80,On S Kildare Ave From W Harrison St To W Flournoy St,S Kildare Ave And W Harrison St,S Kildare Ave And W Flournoy St,"[41.8733499, -87.7327647]","[41.8724564, -87.7327479]"
81,On S Mason Ave From W Arthington St To W Roosevelt Rd,S Mason Ave And W Arthington St,S Mason Ave And W Roosevelt Rd,"[41.8691324, -87.7730355]","[41.865493, -87.77285]"
82,On S Princeton Ave From W 59th Pl To W 60th Pl,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th Pl,"[41.786347, -87.632804]","[41.784527, -87.632733]"
83,On S Central Park Ave From W 75th St To W 78th St,S Central Park Ave And W 75th St,S Central Park Ave And W 78th St,"[41.7568928, -87.7120345]","[41.7514803, -87.7119487]"
84,On W 78th Pl From S Kedvale Ave To S Karlov Ave,W 78th Pl And S Kedvale Ave,W 78th Pl And S Karlov Ave,"[41.7500171, -87.7247375]","[41.750114, -87.7241687]"
85,On W 73rd St From S Whipple St To S Kedzie Ave,W 73rd St And S Whipple St,W 73rd St And S Kedzie Ave,"[41.7607989, -87.6990261]","[41.760748, -87.702544]"
86,On W 58th St From S Peoria St To S Sangamon St,W 58th St And S Peoria St,W 58th St And S Sangamon St,"[41.788804, -87.6474523]","[41.78882, -87.6486432]"
87,On W 58th Pl From S Hamlin Ave To S Central Park Ave,W 58th Pl And S Hamlin Ave,W 58th Pl And S Central Park Ave,"[41.78692, -87.718063]","[41.787005, -87.713446]"
88,On W 106th St From S Green St To S Peoria St,W 106th St And S Green St,W 106th St And S Peoria St,"[41.701443, -87.643888]","[41.701431, -87.645101]"
89,On W 52nd St From S Kedzie Ave To S Troy St,W 52nd St And S Kedzie Ave,W 52nd St And S Troy St,"[41.799038, -87.703717]","[41.799053, -87.702512]"
90,On W 52nd St From S Albany Ave To S Whipple St,W 52nd St And S Albany Ave,W 52nd St And S Whipple St,"[41.799062, -87.701266]","[41.79908, -87.700051]"
91,On W 18th St From S Wentworth Ave To S Clark St,W 18th St And S Wentworth Ave,W 18th St And S Clark St,"[41.857752, -87.6318983]","[41.857787, -87.630227]"
92,On W 107th St From S Morgan St To S Racine Ave,W 107th St And S Morgan St,W 107th St And S Racine Ave,"[41.699583, -87.647486]","[41.699532, -87.652354]"
93,On W 52nd St From S Troy St To S Albany Ave,W 52nd St And S Troy St,W 52nd St And S Albany Ave,"[41.799053, -87.702512]","[41.799062, -87.701266]"
94,On W 81st Pl From S Kostner Ave To S Kenneth Ave,W 81st Pl And S Kostner Ave,W 81st Pl And S Kenneth Ave,"[41.7440317, -87.7311419]","[41.744916, -87.7329643]"
95,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,W Wilcox St And S Hamlin Blvd,W Wilcox St And S Springfield Ave,"[41.878948, -87.7206255]","[41.878911, -87.723152]"
96,On W Ardmore Ave From N Austin Ave To N Melvina Ave,W Ardmore Ave And N Austin Ave,W Ardmore Ave And N Melvina Ave,"[41.9865498, -87.7779736]","[41.9864891, -87.7828064]"
97,On W Argyle St From N Mozart St To N Francisco Ave,W Argyle St And N Mozart St,W Argyle St And N Francisco Ave,"[41.972172, -87.700037]","[41.972151, -87.701251]"
98,On W Arthur Ave From N Troy St To N Albany Ave,W Arthur Ave And N Troy St,W Arthur Ave And N Albany Ave,"[41.999239, -87.708247]","[41.999248, -87.707029]"
99,On W Barry Ave From N Springfield Ave To N Davlin Ct,W Barry Ave And N Springfield Ave,W Barry Ave And N Davlin Ct,"[41.9373185, -87.7259059]","[41.936691, -87.724922]"
101,On W Jackson Blvd From S California Ave To S Francisco Ave,W Jackson Blvd And S California Ave,W Jackson Blvd And S Francisco Ave,"[41.877461, -87.696199]","[41.877434, -87.698659]"
102,On W Madison St From N Waller Ave To N Mason Ave,W Madison St And N Waller Ave,W Madison St And N Mason Ave,"[41.880259, -87.768081]","[41.880172, -87.77319]"
103,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,W Palmer St And N Cicero Ave,W Palmer St And N Kilpatrick Ave,"[41.920602, -87.746281]","[41.9206205, -87.7437499]"
104,On W Peterson Ave From N Harlem Ave To N Oconto Ave,W Peterson Ave And N Harlem Ave,W Peterson Ave And N Oconto Ave,"[41.9900141, -87.8068995]","[41.9899373, -87.8083246]"
105,On W Railroad Ave From S Mason Ave To S Austin Blvd,W Railroad Ave And S Mason Ave,W Railroad Ave And S Austin Blvd,"[41.8703549, -87.773096]","[41.870421, -87.7742081]"
106,On W Roscoe St From N Greenview Ave To N Janssen Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Janssen Ave,"[41.943378, -87.666325]","[41.943413, -87.665107]"
107,On S St. Louis Ave. From W 81st Pl To W Columbus Ave,S St. Louis Ave. And W 81st Pl,S St. Louis Ave. And W Columbus Ave,"[41.74515, -87.709606]","[41.745012, -87.709608]"
108,On W 81st St From S Kilpatrick Ave To S Keating Ave,W 81st St And S Kilpatrick Ave,W 81st St And S Keating Ave,"[41.7457647, -87.7386949]","[41.7456489, -87.7395304]"
109,On S St Louis Ave From W 77th St To W 78th St,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St,"[41.753333, -87.709814]","[41.751516, -87.70976]"
110,On S Clark St From W 18th St To W 19th St,S Clark St And W 18th St,S Clark St And W 19th St,"[41.857787, -87.630227]","[41.8566043, -87.6301841]"
111,On S Princeton Ave From W 59th Pl To W 60th St,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th St,"[41.786347, -87.632804]","[41.785459, -87.63276]"
113,On E 61st St From S Langley Ave To S Rhodes Ave,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]"
114,On E 88th St From S Euclid Ave To S Bennett Ave,E 88th St And S Euclid Ave,E 88th St And S Bennett Ave,"[41.735217, -87.576897]","[41.735215, -87.578129]"
115,On N Bernard St From W Belmont Ave To W Barry Ave,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]"
116,On N Clybourn Ave From W Webster Ave To N Greenview Ave,N Clybourn Ave And W Webster Ave,N Clybourn Ave And N Greenview Ave,"[41.921633, -87.664404]","[41.922589, -87.665745]"
117,On N Davlin Ct From W Barry Ave To W Wellington Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And W Wellington Ave,"[41.936691, -87.724922]","[41.9354422, -87.72612575]"
118,On N Greenview Ave From W Belmont Ave To W Henderson St,N Greenview Ave And W Belmont Ave,N Greenview Ave And W Henderson St,"[41.939759, -87.666235]","[41.942503, -87.666305]"
119,On N Harding Ave From W Barry Ave To W Belmont Ave,N Harding Ave And W Barry Ave,N Harding Ave And W Belmont Ave,"[41.9373185, -87.7259059]","[41.939132, -87.725956]"
120,On N Oconto Ave From W Peterson Ave To W Thorndale Ave,N Oconto Ave And W Peterson Ave,N Oconto Ave And W Thorndale Ave,"[41.9899373, -87.8083246]","[41.9877644, -87.8083494]"
121,On N Springfield Ave From W Belmont Ave To W Barry Ave,N Springfield Ave And W Belmont Ave,N Springfield Ave And W Barry Ave,"[41.93914, -87.724744]","[41.9373185, -87.7259059]"
122,On N Washtenaw Ave From W Argyle St To W Winnemac Ave,N Washtenaw Ave And W Argyle St,N Washtenaw Ave And W Winnemac Ave,"[41.972194, -87.696362]","[41.97313, -87.696419]"
123,On S Racine Ave From W 108th St To W 110th St,S Racine Ave And W 108th St,S Racine Ave And W 110th St,"[41.697694, -87.652272]","[41.6941041, -87.6521567]"
124,On N Washtenaw Ave From W Winona St To W Argyle St,N Washtenaw Ave And W Winona St,N Washtenaw Ave And W Argyle St,"[41.9747895, -87.696441]","[41.972194, -87.696362]"
