,project_number,location_name,year_range,from,to
3574,[170 -02] 37719,On W Hirsch St From N Karlov Ave To N Kedvale Ave,2014-2018,W Hirsch St And N Karlov Ave,W Hirsch St And N Kedvale Ave
3594,[170 -02] 37719,On N Sedgwick St From W Chicago Ave To W Oak St,2014-2018,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St
3642,[170 -02] 37719,On S Yates Ave From E 100th St To E 102nd St,2014-2018,S Yates Ave And E 100th St,S Yates Ave And E 102nd St
3714,[170 -02] 37793,On W 70th St From S Ashland Ave To S Justine St,2014-2018,W 70th St And S Ashland Ave,W 70th St And S Justine St
3724,[170 -02] 37793,On N Sedgwick St From W Chicago Ave To W Oak St,2014-2018,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St
3735,[170 -02] 37793,On W 70th St From S Justine St To S Bishop St,2014-2018,W 70th St And S Justine St,W 70th St And S Bishop St
3736,[170 -02] 37793,On W 60th St From S Hamlin Ave To S Hale Ave,2014-2018,W 60th St And S Hamlin Ave,W 60th St And S Hale Ave
3743,[170 -02] 37793,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave,2014-2018,N Washtenaw Ave And W Berwyn Ave,N Washtenaw Ave And W Foster Ave
3765,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2014-2018,S Clark St And W 21st St,S Clark St And S Archer Ave
3794,[170 -02] 37933,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2014-2018,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave
3795,[170 -02] 37933,On N Wolcott Ave From W Winnemac Ave To W Balmoral Ave,2014-2018,N Wolcott Ave And W Winnemac Ave,N Wolcott Ave And W Balmoral Ave
3818,[170 -02] 38043,S May St And W 34th Pl,2014-2018,S May St And W 34th Pl,None
3849,[170 -02] 38390,On W 125th St From S Parnell Ave To S Wentworth Ave,2014-2018,W 125th St And S Parnell Ave,W 125th St And S Wentworth Ave
3867,[170 -02] 38415,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2014-2018,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave
3880,[170 -02] 38787,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,2014-2018,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave
3905,[170 -02] 38791,On W 60th St From S Nashville Ave To S Neenah Ave,2014-2018,W 60th St And S Nashville Ave,W 60th St And S Neenah Ave
3906,[170 -02] 38791,On W 60th St From S Neenah Ave To S Natchez Ave,2014-2018,W 60th St And S Neenah Ave,W 60th St And S Natchez Ave
3970,[170 -02] 38883,On E 95th St From S Torrence Ave To S Calhoun Ave,2014-2018,E 95th St And S Torrence Ave,E 95th St And S Calhoun Ave
3988,[170 -02] 38893,On W Chicago Ave From N St Louis Ave To N Central Park Ave,2014-2018,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave
4014,[170 -04] 37896,On S Desplaines St From W Madison St To W Kinzie St,2014-2018,S Desplaines St And W Madison St,S Desplaines St And W Kinzie St
4019,[170 -04] 37896,On N Nagel From W Gregory St To W Catalpa Ave,2014-2018,N Nagel And W Gregory St,N Nagel And W Catalpa Ave
4030,[170 -04] 37896,On N Campbell Ave From W Fullerton Ave To W Belden Ave,2014-2018,N Campbell Ave And W Fullerton Ave,N Campbell Ave And W Belden Ave
