,Project_#,Project_Location
199,[170 -04] 37898,On S Maryland Ave From E 86th St To E 87th St
200,[170 -04] 37898,On S Menard Ave From W 57th St To W 58th St
201,[170 -04] 37898,On W 50th St From S Loomis Blvd To S Racine Ave
202,[170 -04] 37898,On S Michigan Ave From E 77th St To E 78th St
203,[170 -04] 37898,On S New England Ave From W 51st St To W 52nd St
204,[170 -04] 37898,On S Oak Park Ave From W 51st St To W 52nd St
205,[170 -04] 37898,On S Racine Ave From W 31st St To W 33rd St
206,[170 -04] 37898,On S Rutherford Ave From W 51st St To W 52nd St
207,[170 -04] 37898,On S South Chicago Ave From E 71st St To S Drexel Ave
208,[170 -04] 37898,On S State St From W 113th St To W 114th St
209,[170 -04] 37898,On S Vernon Ave From E 69th St To E 70th St
210,[170 -04] 37898,On S Wallace St From W 76th St To W 77th St
211,[170 -04] 37898,On S Wentworth Ave From W 71st St To W 73rd St
212,[170 -04] 37898,On S Woodlawn Ave From E 69th St To E 71st St
213,[170 -04] 37898,On W 31st St From S Wood St To S Damen Ave
214,[170 -04] 37898,On S Morgan St From W 75th St To W 77th St
215,[170 -04] 37898,On W Madison St From N California Ave To N Francisco Ave
216,[170 -04] 37898,On W Madison St From N Homan Blvd To S St Louis Ave
217,[170 -04] 37898,3900-4000 S Ashland Ave
218,[170 -04] 37898,7300-7422 S Campbell Ave
219,[170 -04] 37898,7024-7100 S Euclid Ave
220,[170 -04] 37898,5548 S Kostner Ave
221,[170 -04] 37898,7246-7300 S Luella Ave
222,[170 -04] 37898,7332-7412 S St Louis Ave
223,[170 -04] 37898,7100-7135 S Union Ave
224,[170 -04] 37898,3522-3552 W 74th St
225,[170 -04] 37898,3725-3800 W 84th Pl
226,[170 -04] 37898,7300-7422 W Campbell Av
227,[170 -04] 37898,7411-7464 W Catalpa Ave
228,[170 -04] 37898,7500-7542 W Devon Ave
229,[170 -04] 37898,5700-6342 W Grace St
230,[170 -04] 37898,2000-2344 W Kinzie St
